orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
1,WL:SNAIL:OCC:ES:00000,Geomitridae,Monilearia arguineguinensis,Monilearia,arguineguinensis,,"(Seddon & Aparicio, 1998)",08/04/1988,1988,empty shell,3,0,3,exact,27.7566,-15.6771,25,Arguineguín,Mogán,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,H. Menkhorst and M. Slooff,HumanObservation,Y,,Ward Langeraert,H. Menkhorst and M. Slooff,"rocky slope, 10 m"
2,WL:SNAIL:OCC:ES:00001,Enidae,Napaeus isletae,Napaeus,isletae,,"Groh & Ibáñez, 1992",03/08/2016,2016,(sub)fossil,1,0,1,exact,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
3,WL:SNAIL:OCC:ES:00002,Geomitridae,Monilearia tumulorum,Monilearia,tumulorum,,"(Webb & Berthelot, 1833)",03/08/2016,2016,empty shell,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
4,WL:SNAIL:OCC:ES:00003,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",03/08/2016,2016,(sub)fossil,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
5,WL:SNAIL:OCC:ES:00004,Helicidae,Hemicycla saulcyi carta,Hemicycla,saulcyi,carta,"(J. Mabille, 1882)",03/08/2016,2016,(sub)fossil,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
6,WL:SNAIL:OCC:ES:00005,Helicidae,Theba pisana,Theba,pisana,,"(O.F. Müller, 1774)",03/08/2016,2016,empty shell,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Theo Ripken,
7,WL:SNAIL:OCC:ES:00006,Pomatiidae,Pomatias adjunctus,Pomatias,adjunctus,,"(Mousson, 1872)",03/08/2016,2016,(sub)fossil,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
8,WL:SNAIL:OCC:ES:00007,Streptaxidae,Gibbulinella aff. dealbata,Gibbulinella,aff. dealbata,,,03/08/2016,2016,(sub)fossil,1,1,0,exact,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri
9,WL:SNAIL:OCC:ES:00008,Trissexodontidae,Caracollina lenticula,Caracollina,lenticula,,"(Michaud, 1831)",03/08/2016,2016,empty shell,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
10,WL:SNAIL:OCC:ES:00009,Achatinidae,Rumina decollata,Rumina,decollata,,"(Linnaeus, 1758)",04/08/2016,2016,empty shell,8,1,7,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
