orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
1,,Megalomastomatidae,Obscurella bicostulata,Obscurella,bicostulata,,"Gofas, 1989",18/08/2004,2004,empty shell,2,0,2,exact,,,,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,R.E. Reuselaars,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,on shadow area of big rock at 1100 mts
2,,Megalomastomatidae,Obscurella asturica,Obscurella,asturica,,"(Raven, 1990)",24/06/2013,2013,empty shell,4,0,4,exact,,,,Bajes,,Cantabria,,,Spain,ES,R.E. Reuselaars,HumanObservation,Y,,Ward Langeraert,R.E. Reuselaars,cannot find this location
3,,Megalomastomatidae,Obscurella hidalgoi,Obscurella,hidalgoi,,"(Crosse, 1864)",27/06/2013,2013,empty shell,3,0,3,exact,,,,Las Selas (Castilla y León),,,,,Spain,ES,R.E. Reuselaars,HumanObservation,Y,,Ward Langeraert,R.E. Reuselaars,on rocks; cannot find this location
4,,Megalomastomatidae,Obscurella hidalgoi,Obscurella,hidalgoi,,"(Crosse, 1864)",27/06/2013,2013,empty shell,1,0,1,exact,,,,North of Covadonga,Cangas de Onís,Asturias,,,Spain,ES,R.E. Reuselaars,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,at 1000 mts altitude on limestone rocks
5,,Clausiliidae,Clausilia bidentata,Clausilia,bidentata,,"(Strøm, 1765)",31/07/2013,2013,empty shell,3,0,3,exact,43.418889,-2.949444,100,Cliffs northwest of Gorliz,Gorliz,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
6,,Elonidae,Elona quimperiana,Elona,quimperiana,,"(Blainville, 1821)",31/07/2013,2013,dead,1,0,1,exact,43.418889,-2.949444,25,Cliffs northwest of Gorliz,Gorliz,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
7,,Geomitridae,Helicella itala itala,Helicella,itala,itala,"(Linnaeus, 1758)",31/07/2013,2013,empty shell,7,1,6,exact,43.418889,-2.949444,100,Cliffs northwest of Gorliz,Gorliz,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
8,,Megalomastomatidae,Obscurella bicostulata,Obscurella,bicostulata,,"Gofas, 1989",31/07/2013,2013,alive,1,0,1,exact,43.418889,-2.949444,25,Cliffs northwest of Gorliz,Gorliz,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
9,,Pomatiidae,Pomatias elegans,Pomatias,elegans,,"(O. F. Müller, 1774)",31/07/2013,2013,empty shell,20,,,estimate,43.418889,-2.949444,100,Cliffs northwest of Gorliz,Gorliz,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
10,,Ellobiidae,Leucophytia bidentata,Leucophytia,bidentata,,"(Montagu, 1808)",01/08/2013,2013,empty shell,1,0,1,exact,43.432081,-2.898946,25,Armintza playa,Lemoiz,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found washed up between rocks
11,,Ellobiidae,Pseudomelampus exiguus,Pseudomelampus,exiguus,,"(R. T. Lowe, 1832)",01/08/2013,2013,empty shell,3,0,3,exact,43.432081,-2.898946,25,Armintza playa,Lemoiz,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found washed up between rocks
12,,Geomitridae,Helicella itala pampelonensis,Helicella,itala,pampelonensis,"(A. Schmidt, 1856)",06/08/2013,2013,empty shell,20,,,estimate,43.064564,-2.793003,100,Gorbeiako Parke Naturala (between Pagomakurre-Kargaleku),Zeanuri,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Han Raven,
13,,Sphaeriidae,Euglesa cf. casertana,Euglesa,cf. casertana,,,06/08/2013,2013,empty shell,1,0,1,exact,43.078969,-2.791581,200,Gorbeiako Parke Naturala (Pagomakurre),Areatza,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,near Pagomakurre in little stream
14,,Pomatiidae,Pomatias elegans,Pomatias,elegans,,"(O. F. Müller, 1774)",08/08/2013,2013,empty shell,8,0,8,exact,43.444463,-2.783305,100,Ruta San Juan de Gaztelugatxe,Bermeo,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,in tiny bushes
15,,Pomatiidae,Pomatias elegans,Pomatias,elegans,,"(O. F. Müller, 1774)",10/08/2013,2013,empty shell,20,,,estimate,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
16,,Helicidae,Cornu aspersum,Cornu,aspersum,,"(O. F. Müller, 1774)",10/08/2013,2013,empty shell,1,0,1,exact,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
17,,Valloniidae,Vallonia costata,Vallonia,costata,,"(O. F. Müller, 1774)",10/08/2013,2013,empty shell,20,,,estimate,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
18,,Clausiliidae,Clausilia bidentata,Clausilia,bidentata,,"(Strøm, 1765)",10/08/2013,2013,empty shell,20,,,estimate,43.346206,-2.637003,100,Santimamiñe,Kortezubi,Vizcaya,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,found at the bottom of fast flowing stream
